Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
1.0,gompi2024a,OFF,1,4,collective-osu_allgather,0.75,0.010000000000000009,0.73,0.7833333333333333,0.8,0.9166666666666666,0.94
1.0,gompi2024a,OFF,1,4,collective-osu_allgather_persistent,1.1966666666666665,0.008819171036881977,1.14,1.2533333333333332,1.27,2.266666666666667,2.37
1.0,gompi2024a,OFF,1,4,collective-osu_allgatherv,1.4833333333333334,0.013333333333333345,1.45,1.54,1.56,1.7833333333333332,1.86
1.0,gompi2024a,OFF,1,4,collective-osu_allgatherv_persistent,1.2233333333333334,0.0033333333333333366,1.15,1.2533333333333332,1.28,2.5033333333333334,2.62
1.0,gompi2024a,OFF,1,4,collective-osu_alltoall,0.7799999999999999,7.850462293418875e-17,0.77,0.8333333333333334,0.84,0.9700000000000001,0.99
1.0,gompi2024a,OFF,1,4,collective-osu_alltoall_persistent,1.0666666666666667,0.008819171036881977,1.02,1.1066666666666667,1.11,2.3133333333333335,2.74
1.0,gompi2024a,OFF,1,4,collective-osu_alltoallv,0.9333333333333332,0.008819171036881943,0.91,0.9866666666666667,1.0,1.06,1.06
1.0,gompi2024a,OFF,1,4,collective-osu_alltoallv_persistent,1.0833333333333333,0.006666666666666673,1.05,1.1266666666666667,1.13,1.9333333333333333,2.25
1.0,gompi2024a,OFF,1,4,collective-osu_alltoallw,0.9366666666666666,0.008819171036881943,0.94,0.9966666666666667,1.01,1.0933333333333335,1.12
1.0,gompi2024a,OFF,1,4,collective-osu_alltoallw_persistent,1.09,0.005773502691896263,1.05,1.116666666666667,1.12,1.9266666666666665,1.95
1.0,gompi2024a,OFF,1,4,collective-osu_bcast,0.32,0.005773502691896263,0.31,0.35000000000000003,0.36,0.43999999999999995,0.49
1.0,gompi2024a,OFF,1,4,collective-osu_bcast_persistent,0.37333333333333335,0.006666666666666673,0.37,0.38999999999999996,0.4,0.49666666666666665,0.53
1.0,gompi2024a,OFF,1,4,collective-osu_gather,0.4066666666666667,0.0033333333333333184,0.4,0.41333333333333333,0.42,0.5,0.51
1.0,gompi2024a,OFF,1,4,collective-osu_gather_persistent,0.37666666666666665,0.003333333333333336,0.37,0.39333333333333337,0.4,0.53,0.53
1.0,gompi2024a,OFF,1,4,collective-osu_gatherv,0.25333333333333335,0.003333333333333336,0.24,0.26666666666666666,0.29,0.4633333333333334,0.49
1.0,gompi2024a,OFF,1,4,collective-osu_gatherv_persistent,0.37333333333333335,0.003333333333333336,0.36,0.38999999999999996,0.39,0.5266666666666667,0.54
1.0,gompi2024a,OFF,1,4,collective-osu_neighbor_allgather,0.5766666666666667,0.008819171036881943,0.57,0.6066666666666666,0.62,0.6666666666666666,0.68
1.0,gompi2024a,OFF,1,4,collective-osu_neighbor_allgatherv,0.57,0.005773502691896231,0.56,0.5933333333333333,0.6,0.6633333333333334,0.68
1.0,gompi2024a,OFF,1,4,collective-osu_neighbor_alltoall,0.58,0.005773502691896263,0.57,0.62,0.64,0.6866666666666666,0.69
1.0,gompi2024a,OFF,1,4,collective-osu_neighbor_alltoallv,0.5833333333333334,0.012018504251546606,0.58,0.6133333333333333,0.63,0.6966666666666667,0.71
1.0,gompi2024a,OFF,1,4,collective-osu_neighbor_alltoallw,0.6,0.005773502691896263,0.58,0.62,0.63,0.7133333333333334,0.78
1.0,gompi2024a,OFF,1,4,collective-osu_scatter,0.32666666666666666,0.003333333333333336,0.32,0.33666666666666667,0.34,0.4366666666666667,0.49
1.0,gompi2024a,OFF,1,4,collective-osu_scatter_persistent,0.38999999999999996,0.005773502691896263,0.38,0.42,0.42,0.5133333333333333,0.55
1.0,gompi2024a,OFF,1,4,collective-osu_scatterv,0.26666666666666666,0.008819171036881977,0.26,0.29666666666666663,0.31,0.3833333333333333,0.41
1.0,gompi2024a,OFF,1,4,collective-osu_scatterv_persistent,0.38999999999999996,3.925231146709437e-17,0.38,0.42,0.42,0.48666666666666664,0.53
1.0,gompi2024a,OFF,1,96,collective-osu_allgather,5.503333333333334,0.018559214542766638,5.11,6.3933333333333335,6.44,12.196666666666667,13.55
1.0,gompi2024a,OFF,1,96,collective-osu_allgather_persistent,66.44666666666667,0.4636929060392372,65.75,70.23,71.24,74.84666666666666,75.99
1.0,gompi2024a,OFF,1,96,collective-osu_allgatherv,27.83,0.5951750442796915,28.26,30.810000000000002,31.77,34.98666666666667,35.55
1.0,gompi2024a,OFF,1,96,collective-osu_allgatherv_persistent,42.49333333333333,0.22063040991163813,42.18,43.19333333333333,43.5,49.04333333333333,49.58
1.0,gompi2024a,OFF,1,96,collective-osu_alltoall,21.506666666666664,0.07838650677536554,20.98,24.536666666666665,24.63,28.956666666666667,29.18
