Size,Avg Latency(us),P50 Tail Lat(us),P90 Tail Lat(us),P99 Tail Lat(us),toolchain,instrumentation,nodes,cores,benchmark
1,0.51,0.48,0.52,0.66,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.48,0.47,0.5,0.56,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.48,0.47,0.5,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.48,0.47,0.5,0.55,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.59,0.59,0.63,0.7,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.63,0.62,0.72,0.86,gompi2024a,OFF,1,4,collective-osu_allgather
64,0.84,0.7,1.34,2.27,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.02,0.91,1.44,2.5,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.05,1.01,1.07,2.25,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.29,1.21,1.31,2.55,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.65,1.5,2.33,3.46,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.3,2.04,3.49,4.68,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.89,2.78,3.28,4.48,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.47,4.44,4.54,5.06,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.08,6.82,7.61,9.41,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.26,11.84,13.06,18.25,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.55,22.4,22.76,25.8,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.66,41.45,42.51,46.45,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.14,76.86,78.7,81.33,gompi2024a,OFF,1,4,collective-osu_allgather
524288,158.33,157.91,161.31,162.92,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,286.15,285.57,288.57,290.95,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.49,0.54,0.63,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.53,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.5,0.49,0.52,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.5,0.52,0.57,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.62,0.6,0.69,0.76,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.77,0.77,0.82,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,0.94,0.82,1.5,2.39,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.11,1.0,1.57,2.57,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.16,1.12,1.19,2.39,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.38,1.29,1.39,2.77,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.68,1.52,2.38,3.58,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.26,2.01,3.47,4.71,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.86,2.75,3.27,4.3,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.5,4.48,4.57,4.68,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.08,6.82,7.83,9.69,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.11,11.73,12.91,16.63,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.33,22.23,22.52,25.32,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.15,40.97,42.06,47.12,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.25,77.02,78.89,81.4,gompi2024a,OFF,1,4,collective-osu_allgather
524288,157.18,156.62,159.78,164.4,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,286.46,285.74,289.66,292.35,gompi2024a,OFF,1,4,collective-osu_allgather
