Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
1,gompi2024a,OFF,1,4,collective-osu_allgather,0.514,0.003711842908553351,0.5,0.54,0.57,0.641,0.71
1,gompi2024a,OFF,1,104,collective-osu_allgather,4.777,0.025519056060564278,4.5,5.46,5.61,10.338,14.38
1,gompi2024a,OFF,4,4,collective-osu_allgather,2.424,0.006000000000000002,2.4050000000000002,2.444,2.47,2.716,2.95
1,gompi2024a,OFF,4,104,collective-osu_allgather,6.261,0.030347981810987072,5.76,8.186,8.32,9.591,10.15
1,gompi2024a,ON,1,4,collective-osu_allgather,0.77,0.003333333333333336,0.74,0.778,0.8,1.951,2.16
1,gompi2024a,ON,1,104,collective-osu_allgather,4.984,0.04050240047755739,4.66,5.964,6.12,9.308,10.39
1,gompi2024a,ON,4,4,collective-osu_allgather,2.631,0.005666666666666674,2.6,2.6350000000000002,2.66,3.751,3.88
1,gompi2024a,ON,4,104,collective-osu_allgather,6.495,0.029897974661988166,6.02,8.417,8.7,9.683,10.21
1,intel2024a,OFF,1,4,collective-osu_allgather,0.925,0.005426273532033228,0.69,0.8019999999999999,0.83,4.446,4.75
1,intel2024a,OFF,1,104,collective-osu_allgather,6.495,0.05090841449767086,4.845000000000001,5.718999999999999,6.34,35.469,37.42
1,intel2024a,OFF,4,4,collective-osu_allgather,2.493,0.00260341655863552,2.47,2.51,2.52,2.881,3.02
1,intel2024a,OFF,4,104,collective-osu_allgather,13.228,0.006289320754704443,12.92,13.578,13.71,18.43,19.21
1,intel2024a,ON,1,4,collective-osu_allgather,1.238,0.004163331998932269,0.96,1.0630000000000002,1.1,7.164,7.43
1,intel2024a,ON,1,104,collective-osu_allgather,6.769,0.04655820729653009,5.12,6.718000000000001,7.15,36.079,38.78
1,intel2024a,ON,4,4,collective-osu_allgather,2.778,0.0024944382578492887,2.75,2.786,2.8,3.872,3.98
1,intel2024a,ON,4,104,collective-osu_allgather,13.603,0.00919540948275582,13.274999999999999,13.953,14.01,18.165,19.0
2,gompi2024a,OFF,1,4,collective-osu_allgather,0.504,0.003055050463303896,0.5,0.531,0.55,0.612,0.66
2,gompi2024a,OFF,1,104,collective-osu_allgather,4.934,0.024594488994262306,4.705,5.672,5.76,9.397,12.06
2,gompi2024a,OFF,4,4,collective-osu_allgather,2.423,0.0044845413490245635,2.42,2.44,2.46,2.617,2.74
2,gompi2024a,OFF,4,104,collective-osu_allgather,6.327,0.033368314977601794,6.205,6.726000000000001,6.89,7.765000000000001,7.94
2,gompi2024a,ON,1,4,collective-osu_allgather,0.759,0.0027688746209726936,0.73,0.771,0.78,1.8190000000000002,1.96
2,gompi2024a,ON,1,104,collective-osu_allgather,5.236,0.04910759162854103,4.9,6.093999999999999,6.31,9.169,10.04
2,gompi2024a,ON,4,4,collective-osu_allgather,2.622,0.0035901098714229977,2.6,2.63,2.65,3.595,3.77
2,gompi2024a,ON,4,104,collective-osu_allgather,6.575,0.022961320132392764,6.4350000000000005,6.99,7.18,8.282,8.8
2,intel2024a,OFF,1,4,collective-osu_allgather,0.696,0.004988876515698592,0.69,0.705,0.76,0.741,0.79
2,intel2024a,OFF,1,104,collective-osu_allgather,5.029,0.05978572850884511,4.805,5.4159999999999995,5.77,9.05,12.61
2,intel2024a,OFF,4,4,collective-osu_allgather,2.5,0.0021081851067788746,2.4850000000000003,2.51,2.52,2.759,3.45
2,intel2024a,OFF,4,104,collective-osu_allgather,13.656,0.007483314773547866,13.58,13.916,14.0,14.504,14.63
2,intel2024a,ON,1,4,collective-osu_allgather,0.986,0.004268749491621903,0.955,0.9810000000000001,1.01,2.107,2.23
2,intel2024a,ON,1,104,collective-osu_allgather,5.311,0.047292235679396236,5.105,5.742,5.89,9.181000000000001,10.13
2,intel2024a,ON,4,4,collective-osu_allgather,2.786,0.0016329931618554898,2.76,2.79,2.8,3.8609999999999998,3.94
2,intel2024a,ON,4,104,collective-osu_allgather,13.956999999999999,0.00817176711475423,13.86,14.212,14.28,15.311000000000002,15.43
4,gompi2024a,OFF,1,4,collective-osu_allgather,0.5,0.0025819888974716134,0.495,0.523,0.54,0.61,0.63
